# count	conf	class	subs	raw	preset
180	high	Belgian Saison II (3726)	0	Wyeast - Farmhouse Ale 3726	3726 Farmhouse Ale
178	high	solo:wldmunichclassic	0	Danstar - Munich Classic Wheat Beer Yeast	LalBrew Munich Classic
177	low		0	Gervin Ale (by Muntons) GV-12	
175	high	solo:wlp590	3	White Labs - French Saison Ale Yeast WLP590	WLP590 French Saison Ale Yeast
171	high	solo:3056	0	Wyeast - Bavarian Wheat 3056	3056 Bavarian Wheat Blend
169	high	Bavarian Weizen (Muri, WLP351)	3	White Labs - Bavarian Weizen Yeast WLP351	WLP351 Bavarian Weizen Ale Yeast
164	high	solo:wlp036	2	White Labs - Dusseldorf Alt Yeast WLP036	WLP036 Dusseldorf Alt Ale Yeast
160	medium	Chimay (Trappist, WLP500)	3	Danstar - Abbaye Ale Yeast	LalBrew Abbaye
159	high	Trois (Saccharomyces 'brux-like')	0	White Labs - Brettanomyces Bruxellensis Trois WLP644	WLP644 Saccharomyces brux-like Trois
159	high	Hornindal	0	Escarpment Labs - Hornindal Kveik Blend	Hornindal Kveik Blend
147	high	solo:wlp568	0	White Labs - Belgian Style Saison Blend WLP568	WLP568 Belgian Style Saison Ale Yeast Blend
147	medium	Belgian Saison II (3726)	0	Imperial Yeast - B56 Rustic	B56 Rustic
142	medium	Bohemian Lager (2124)	4	Imperial Yeast - L13 Global	L13 Global
137	low		0	Munton and Fison	
137	high	San Diego Super / Ballast Point (WLP090)	1	Wyeast - Rogue Pacman 1764	1764 Pacman
131	high	San Diego Super / Ballast Point (WLP090)	2	Imperial Yeast - A18 Joystick	A18 Joystick
127	high	American Ale II (1272)	3	Imperial Yeast - A15 Independence	A15 Independence
126	medium	Diamond (Munich 2308)	3	Danstar - Diamond Lager	LalBrew Diamond Lager
123	high	Hoegaarden (Forbidden Fruit 3463)	0	Wyeast - Forbidden Fruit 3463	OYL-023 Grand Cru
123	medium	Whitbread (S-04)	5	Mangrove Jack - British Ale Yeast	SafAle S-04
123	high	Weihenstephan 34/70	4	Wyeast - American Lager 2035	2035-PC American Lager
116	high	Bavarian Weizen (Muri, WLP351)	3	Wyeast - Bavarian Wheat 3638	3638 Bavarian Wheat
115	high	solo:oyl-500	0	Omega Yeast Labs - Saisonstein’s Monster OYL-500	OYL-500 Saisonstein
113	medium	Weihenstephan 3068 (WLP380)	0	Imperial Yeast - G01 Stefon	G01 Stefon
111	high	Weihenstephan Hefe (WLP300)	3	Wyeast - German Wheat 3333	3333 German Wheat
110	medium	Whitbread (S-04)	5	Mangrove Jack - British Ale Yeast M07	SafAle S-04
108	high	S-23 (Pilsner Urquell H-Strain)	4	Wyeast - Urquell Lager 2001	2001 Pilsner Urquell H-Strain
102	high	London Ale III (1318)	2	Omega Yeast Labs - British Ale V OYL-011	OYL-011 British Ale I
101	high	Orval (Bastogne, WLP510)	0	White Labs - Belgian Bastogne Ale Yeast WLP510	WLP510 Bastogne Belgian Ale Yeast
98	medium	Weihenstephan 34/70 (WLP830)	4	Imperial Yeast - L28 Urkel	L28 Urkel
97	low		0	GigaYeast - NorCal Ale #1	
97	high	Rochefort / Abbey IV (WLP540)	0	White Labs - Abbey IV Ale Yeast WLP540	WLP540 Abbey IV Ale Yeast
97	high	Voss	0	Lallemand - LALBREW® VOSS KVEIK ALE YEAST	Voss Kveik
94	high	solo:3278	0	Wyeast - Belgian Lambic Blend 3278	3278 Belgian Lambic Blend
93	medium	Conan (Vermont Ale)	0	Escarpment Labs - Vermont Ale	Vermont Ale
92	medium	Belle Saison / French Saison (3711)	4	Imperial Yeast - B64 Napoleon	B64 Napoleon
91	medium	Conan (Vermont Ale)	0	Omega Yeast Labs - DIPA Ale	OYL-052 DIPA Ale
90	high	Munich Helles / Augustiner (WLP860)	0	Omega Yeast Labs - Bayern Lager OYL-114	OYL-114 Bayern Lager
90	high	British Ale I (Whitbread)	3	Omega Yeast Labs - British Ale I OYL-006	OYL-006 British Ale I
85	low		0	White Labs - Sweet Mead/Wine Yeast WLP720	
81	high	Irish Ale (1084)	0	Omega Yeast Labs - Irish Ale OYL-005	OYL-005 Irish Ale
79	high	solo:3942-pc	0	Wyeast - Belgian Wheat 3942	3942-PC Belgian Wheat
78	high	solo:wlp011	0	White Labs - European Ale Yeast WLP011	WLP011 European Ale Yeast
77	high	Scottish Ale (1728)	1	Imperial Yeast - A31 Tartan	A31 Tartan
76	high	Westmalle (WLP530)	0	Imperial Yeast - B48 Triple Double	B48 Triple Double
74	high	Belgian Wit II (WLP410)	0	White Labs - Belgian Wit II Ale Yeast WLP410	WLP410 Belgian Wit II Ale Yeast
73	high	West Yorkshire / Timothy Taylor (1469)	0	White Labs - Essex Ale Yeast WLP022	WLP022 Essex Ale Yeast
72	high	Kölsch (WLP029)	1	Omega Yeast Labs - Kolsch II OYL-044	OYL-044 Kolsch II
71	medium	Ardennes / Achouffe (WLP550)	0	Mangrove Jack - Belgian Ale Yeast	Ardennes Ale
67	high	solo:wlp085	0	White Labs - English Ale Blend WLP085	WLP085 English Ale Yeast Blend
67	medium	Ardennes / Achouffe (WLP550)	0	Imperial Yeast - B45 Gnome	Ardennes Ale
66	low		0	Wyeast - Lactobacillus 5335	
66	high	solo:wlp009	0	White Labs - Australian Ale Yeast WLP009	WLP009 Australian Ale Yeast
66	high	solo:wlp630	0	White Labs - Berliner Weisse Blend WLP630	WLP630 Berliner Weisse Blend
65	medium	German Ale / Kölsch (1007)	2	Imperial Yeast - G02 Kaiser	G02 Kaiser
65	medium	Conan (Vermont Ale)	0	Lallemand - Lalbrew New England	Vermont Ale
65	low		0	Brewferm - Brewferm Top	
65	high	Old Bavarian Lager (WLP920)	0	White Labs - Old Bavarian Lager Yeast WLP920	WLP920 Old Bavarian Lager Yeast
65	high	solo:wlp648	0	White Labs - Brettanomyces Bruxellensis Trois Vrai WLP648	WLP648 Brettanomyces bruxellensis Trois Vrai
65	high	Kölsch (2565)	1	Omega Yeast Labs - Kolsch I OYL-017	OYL-017 Kolsch I
65	medium	Nottingham	1	Lallemand - LALBREW® NOTTINGHAM HIGH PERFORMANCE ALE YEAST	LalBrew Nottingham
64	medium	solo:b44	0	Imperial Yeast - B44 Whiteout	B44 Whiteout
63	medium	Chico (American Ale)	4	Escarpment Labs - Cali Ale	Cali Ale
62	high	solo:wlp575	0	White Labs - Belgian Style Ale Yeast Blend WLP575	WLP575 Belgian Style Ale Yeast Blend
62	high	solo:wlp655	0	White Labs - Belgian Sour Mix WLP655	WLP655 Belgian Sour Mix 1
