# count	conf	archetype	colorL	name
432	high	crystal-medium	55	American - CaraBrown
411	high	melanoidin	27	Finland - Melanoid Malt
411	high	base-pale	2.3	Weyermann - Pale Ale
406	high	extract	3	Briess - DME Bavarian Wheat
399	high	crystal-medium	46	German - Caramel Wheat
385	high	acidulated	3.4	Weyermann - Acidulated
380	high	chocolate-malt	350	Briess - Chocolate
379	high	crystal-dark	418	German - De-Husked Caraf II
379	high	crystal-medium	75	German - CaraBohemian
375	high	maris-otter	2.1	United Kingdom - Pearl
368	high	base-pale	1.8	Rahr - Standard 2-Row
360	high	crystal-light	17.5	Crisp Malting - Caramalt 15L
360	high	extract	4	Liquid Malt Extract - Maris Otter
359	high	crystal-medium	38	Finland - Crystal Malt 100
358	high	extract	8	Dry Malt Extract - Munich
357	medium	dark-candi-syrup	90	Candi Syrup - Belgian Candi Syrup - D-90
355	high	biscuit-malt	30.5	New Zealand - Biscuit Malt
343	high	vienna	3.5	New Zealand - Vienna Malt
340	medium	sugar	0	Belgian Candi Sugar - Clear/Blond
334	high	extract	6	Briess - DME Pale Ale
329	high	crystal-medium	55	United Kingdom - Crystal 55L
320	high	pale-chocolate	220.3	Crisp Malting - Pale Chocolate
320	high	crystal-medium	57	Finland - Crystal Malt 150
316	high	crystal-light	4	Finland - Cara Pale
315	high	rye-malt	3.7	Briess - Rye Malt
315	high	crystal-medium	60	Briess - Caramel Malt - 60L
311	high	adjunct	0	Apple
310	high	black-malt	550.6	Briess - Midnight Wheat Malt
302	high	sugar	1	Invert Sugar
302	high	vienna	3.5	Weyermann - Vienna Malt
297	medium	sugar	0	Candi Syrup - Belgian Candi Syrup - Clear (0L)
297	high	dextrine	1.8	Weyermann - Carapils
295	high	sugar	1	Rice Syrup Solids
294	high	crystal-medium	40	Briess - Caramel Malt - 40L
290	high	munich-light	6	Weyermann - Munich Type I
289	high	crystal-light	13.6	Weyermann - CaraBelge
289	high	wheat-malt	2	Weyermann - Pale Wheat
286	high	base-pale	4	Crisp Malting - Pale Ale
284	high	crystal-dark	96.5	New Zealand - Dark Crystal Malt
282	high	roasted-barley	298.9	Briess - Roasted Barley
274	high	munich-light	10	Briess - Bonlander Munich Malt 10L
270	medium	dark-candi-syrup	80	Candi Syrup - Belgian Candi Syrup - Dark (80L)
266	medium	brown-malt	65	Crisp Malting - Brown Malt
261	high	extract	6	Briess - LME Pale Ale
256	low	base-pale	3.5	Canadian - ESB Malt
255	high	crystal-medium	67	German - CaraRye
255	low	base-pale	5.1	New Zealand - Gladiator Malt
247	high	crystal-light	19	Finland - Crystal Malt 50
244	low	base-pale	5.3	New Zealand - Toffee Malt
242	high	adjunct	0	Mango
242	high	black-malt	525.9	Finland - Black Malt
241	high	sugar	0.5	Corn Syrup
238	high	base-pale	3	Ireland - Ale Malt
236	high	vienna	3.5	Briess - Goldpils Vienna Malt
233	medium	dark-candi-syrup	45	Candi Syrup - Belgian Candi Syrup - D-45
233	high	victory-amber	28	Briess - Victory Malt
231	medium	sugar	5	Candi Syrup - Belgian Candi Syrup - Golden (5L)
225	medium	dark-candi-syrup	40	Candi Syrup - Belgian Candi Syrup - Amber (40L)
224	high	crystal-light	15	Crisp Malting - Caramalt
223	high	sugar	2	White Sorghum Syrup  - Gluten Free
223	high	aromatic	20	Briess - Aromatic Munich Malt 20L
222	high	crystal-dark	120	Briess - Caramel Malt - 120L
220	high	chocolate-malt	659.9	New Zealand - Dark Chocolate Malt
218	high	base-pale	1.8	United Kingdom - Extra Pale Malt
215	medium	sugar	5	Soft Candi Sugar - Blond
214	high	maris-otter	2.3	Muntons - Maris Otter
203	high	crystal-medium	60	Crisp Malting - Crystal 60L
203	high	honey-malt	24.9	Gambrinus - Honey Malt
199	high	chocolate-malt	373.6	Chocolate Malt
199	high	adjunct	0	Pumpkin (canned)
