# count	conf	canonical	raw
73	medium	Columbus	Yakima Chief Hops - Columbus LupuLN2 (Cryo)
73	high	Centennial	Yakima Chief Hops - Centennial
72	high	Summit	summit
71	high	African Queen	African Queen
70	high	Boadicea	Boadicea
70	high	Mt. Hood	Mt Hood
69	high	Topaz	topaz
68	high	Ella	ella
68	medium	Tettnang	Yakima Chief Hops - German Tettnang
68	high	Amarillo	Yakima Chief Hops - Amarillo
67	low	Goldings	Golding
67	high	Ultra	Ultra
65	medium	Northern Brewer (German)	BSG - German Northern Brewer
65	high	BRU-1	Bru-1
65	low	Fuggle	Fuggles (4.5 AA)
65	high	Idaho Gem	Yakima Valley Hops - Idaho Gem
64	high	Belma	belma
63	high	Callista	Callista
63	high	Olicana	Olicana
63	high	Endeavour	Endeavour
63	high	Centennial	Artisan - Centennial
62	medium	Mosaic	BSG - Mosaic
61	high	Fuggle	Yakima Valley Hops - fuggle
61	high	Spalter Select	German Select
61	high	Mandarina Bavaria	Mandarina Bavaria (8.5 AA)
61	high	Citra	Northern Brewer - Citra
60	medium	Amarillo	Amarillo Gold
60	none	(UNRESOLVED)	Sonnet
60	high	Waimea	waimea
59	low	Herkules	Hercules
59	medium	Magnum	BSG - Magnum
59	medium	Sabro	BSG - Sabro
58	high	Dr. Rudi	Dr Rudi
58	high	Idaho Gem	Idaho Gem
58	medium	Nelson Sauvin	Yakima Valley Hops - NZ Nelson Sauvin
58	high	Magnum	Artisan - Magnum
57	high	Southern Cross	southern cross
57	high	Helga	Helga
57	medium	Galaxy	Yakima Valley Hops - AU Galaxy
56	high	Warrior	Warrior (16 AA)
56	high	Simcoe	Simcoe (US)
56	high	Mosaic	Mosiac
56	high	Tradition	tradition
56	high	Styrian Celeia	Styrian Celeia
56	medium	Magnum	Yakima Chief Hops - German Magnum
56	high	Chinook	Artisan - Chinook
55	high	Cascade	Cascade (US)
55	high	Kohatu	kohatu
55	high	Simcoe	Simco
55	none	(UNRESOLVED)	Fortnight
54	high	East Kent Goldings	EKG
54	low	Centennial	Centenial
54	high	Celeia	celeia
53	medium	Magnum	US Magnum
53	high	Southern Star	Southern Star
53	medium	Willamette	US Willamette
53	medium	Citra	YCH - Citra LupuLN2 (Cryo) (25 AA)
53	high	Hallertau Mittelfrüh	Northern Brewer - hallertau
53	high	Styrian Wolf	Styrian Wolf
53	high	Strata	Yakima Valley Hops - Strata
53	high	Willamette	Yakima Valley Hops - Willamette
53	high	Citra	Artisan - Citra
52	medium	Tettnang	German Tettnang
52	high	Delta	Delta
52	high	Mt. Hood	Yakima Chief Hops - MT Hood
52	high	Meridian	meridian
51	medium	Citra	US Citra
51	high	Kazbek	kazbek
51	high	HBC 472	HBC 472
51	high	Warrior	Yakima Valley Hops - Warrior
50	high	Jester	jester
50	medium	Fuggle	Yakima Chief Hops - Fuggle UK
49	high	Northern Brewer (German)	Northern Brewer (U.S.)
49	medium	Goldings	Yakima Chief Hops - US Golding
49	high	Triskel	Triskel
49	high	Spalter Select	Spalter Select
49	high	Simcoe	Yakima Valley Hops - Simcoe
49	high	Idaho 7	Idaho
49	medium	Cascade	Yakima Chief Hops - Cascade DBL
49	medium	Cascade	Barth-Haas - Cascade
48	none	(UNRESOLVED)	007
48	high	Lemondrop	Lemon drop
48	high	Iunga	Iunga
48	medium	Cascade	BSG - Cascade
47	high	Motueka	Motueka (7 AA)
47	none	(UNRESOLVED)	HBC 342
47	high	Vic Secret	vic secret
46	none	(UNRESOLVED)	Mandarina
46	high	Eureka	Eureka!
46	medium	Perle	German Perle
45	high	Sybilla	Sybilla
45	medium	Cascade	NZ Cascade
45	high	Styrian Wolf	styrian wolf
45	high	Amarillo	Yakima Valley Hops - Amarillo
44	medium	Goldings	US Goldings
44	high	Ekuanot	Ekuanot (14.25 AA)
44	high	Lubelski	Lubelski
44	none	(UNRESOLVED)	victoria
43	none	(UNRESOLVED)	Hop Shot
43	high	Citra	CITRA
43	none	(UNRESOLVED)	Nelson
43	high	BRU-1	BRU-1
43	medium	Citra	Yakima Chief Hops - Citra DBL
42	high	Hallertau Mittelfrüh	Hallertau Mittelfruh (3.75 AA)
42	high	Mandarina Bavaria	mandarina bavaria
42	high	Super Pride	Super Pride
42	high	Medusa	Yakima Valley Hops - medusa
42	high	Denali	denali
42	medium	Mosaic	YCH - Mosaic LupuLN2 (Cryo) (22 AA)
42	medium	Loral	Yakima Chief Hops - Loral LupuLN2 (Cryo)
42	high	Simcoe	Artisan - Simcoe
42	high	Centennial	Northern Brewer - Centennial
41	medium	Citra	Yakima Chief Hops - Citra LupuLN2 (Cryo) (25 AA)
41	high	Bobek	bobek
41	none	(UNRESOLVED)	Hort 4337
41	none	(UNRESOLVED)	Caliente
41	high	Melba	Melba
41	high	Amarillo	Artisan - Amarillo
40	none	(UNRESOLVED)	Legacy
40	high	Styrian Golding	Styrian Golding
40	high	Hallertauer Tradition	Hallertauer Tradition
40	high	Fuggle	Fuggle (U.S.)
40	high	Mt. Hood	mt hood
40	high	Simcoe	simco
40	medium	Perle	Hallertau Perle
40	high	Premiant	premiant
40	none	(UNRESOLVED)	Triple Pearl
40	high	Lemondrop	Lemondrop (6 AA)
40	high	Magnum	Yakima Chief Hops - Magnum
39	none	(UNRESOLVED)	German Hallertauer
39	low	Columbus	colombus
39	medium	Mosaic	Yakima Chief Hops - Mosaic LupuLN2 (Cryo) (22 AA)
39	medium	Saaz	Yakima Valley Hops - CZ Saaz
39	high	Mosaic	Mosaic (HBC 369)
39	high	Nelson Sauvin	Nelson Sauvin (12.5 AA)
39	high	Mt. Hood	Yakima Valley Hops - Mt Hood
39	none	(UNRESOLVED)	Eukanot
39	high	Columbus	Yakima Chief Hops - Columbus
39	high	Willamette	Willamette (4.5 AA)
38	high	Hüll melon	Yakima Valley Hops - Hüll Melon
38	none	(UNRESOLVED)	Hallertau Mittlefruh
38	high	Crystal	crystal
38	high	Tettnang	tettnang
38	high	Mosaic	Northern Brewer - Mosaic
38	medium	Simcoe	Yakima Chief Hops - Simcoe LupuLN2 (Cryo) (23 AA)
38	medium	Motueka	Yakima Valley Hops - NZ Motueka
38	high	Hallertau Blanc	Hallertau Blanc (10 AA)
38	high	Sladek	Sládek
38	none	(UNRESOLVED)	Fantasia
38	medium	Rakau	Yakima Valley Hops - NZ Rakau
38	high	Saaz	ŽPČ
38	none	(UNRESOLVED)	Michigan Copper
38	high	Columbus	Artisan - Columbus (CTZ)
38	none	(UNRESOLVED)	Sasquatch
37	medium	Saaz	Brewmaster - czech saaz
37	medium	Target	Wye Target
37	high	Wai-iti	wai-iti
37	high	Idaho 7	Idaho-7
36	high	El Dorado	Eldorado

# --- medium/low confidence within top 400 (eyeball these) ---
14119	low	Fuggle	Fuggles
6237	medium	Hersbrucker	Hallertau Hersbrucker
507	medium	Citra	Yakima Chief Hops - Citra LupuLN2 (Cryo)
457	medium	Tradition	Hallertau Tradition (Germany)
418	medium	Mosaic	Yakima Chief Hops - Mosaic LupuLN2 (Cryo)
383	medium	Saaz	Brewmaster - Czech Saaz
351	medium	Citra	Citra LupuLN2
330	medium	Goldings	B. C. Goldings
288	low	Millennium	Millenium
285	medium	Simcoe	Yakima Chief Hops - Simcoe LupuLN2 (Cryo)
261	medium	Mosaic	Mosaic LupuLN2
185	medium	Simcoe	Simcoe LupuLN2
181	low	Willamette	Northern Brewer - Williamette
175	medium	Cascade	Yakima Chief Hops - Cascade LupuLN2 (Cryo)
156	medium	Tradition	Hallertau Tradition
136	low	Fuggle	fuggles
125	medium	Ekuanot	Yakima Chief Hops - Ekuanot LupuLN2 (Cryo)
117	medium	Galaxy	Northern Brewer - Australian Galaxy
103	medium	Cascade	Cascade LupuLN2
91	medium	East Kent Goldings	BSG - East Kent Goldings
86	medium	Ekuanot	Ekuanot LupuLN2
79	medium	Spalt	Spalt Select
77	medium	Citra	BSG - Citra
74	medium	Cluster	Yakima Cluster
73	medium	Columbus	Yakima Chief Hops - Columbus LupuLN2 (Cryo)
68	medium	Tettnang	Yakima Chief Hops - German Tettnang
67	low	Goldings	Golding
65	medium	Northern Brewer (German)	BSG - German Northern Brewer
65	low	Fuggle	Fuggles (4.5 AA)
62	medium	Mosaic	BSG - Mosaic
60	medium	Amarillo	Amarillo Gold
59	low	Herkules	Hercules
59	medium	Magnum	BSG - Magnum
59	medium	Sabro	BSG - Sabro
58	medium	Nelson Sauvin	Yakima Valley Hops - NZ Nelson Sauvin
57	medium	Galaxy	Yakima Valley Hops - AU Galaxy
56	medium	Magnum	Yakima Chief Hops - German Magnum
54	low	Centennial	Centenial
53	medium	Magnum	US Magnum
53	medium	Willamette	US Willamette
53	medium	Citra	YCH - Citra LupuLN2 (Cryo) (25 AA)
52	medium	Tettnang	German Tettnang
51	medium	Citra	US Citra
50	medium	Fuggle	Yakima Chief Hops - Fuggle UK
49	medium	Goldings	Yakima Chief Hops - US Golding
49	medium	Cascade	Yakima Chief Hops - Cascade DBL
49	medium	Cascade	Barth-Haas - Cascade
48	medium	Cascade	BSG - Cascade
46	medium	Perle	German Perle
45	medium	Cascade	NZ Cascade
44	medium	Goldings	US Goldings
43	medium	Citra	Yakima Chief Hops - Citra DBL
42	medium	Mosaic	YCH - Mosaic LupuLN2 (Cryo) (22 AA)
42	medium	Loral	Yakima Chief Hops - Loral LupuLN2 (Cryo)
41	medium	Citra	Yakima Chief Hops - Citra LupuLN2 (Cryo) (25 AA)
40	medium	Perle	Hallertau Perle
39	low	Columbus	colombus
39	medium	Mosaic	Yakima Chief Hops - Mosaic LupuLN2 (Cryo) (22 AA)
39	medium	Saaz	Yakima Valley Hops - CZ Saaz
38	medium	Simcoe	Yakima Chief Hops - Simcoe LupuLN2 (Cryo) (23 AA)
38	medium	Motueka	Yakima Valley Hops - NZ Motueka
38	medium	Rakau	Yakima Valley Hops - NZ Rakau
37	medium	Saaz	Brewmaster - czech saaz
37	medium	Target	Wye Target

# --- top UNRESOLVED by usage (need an alias or a new preset) ---
60	none	(UNRESOLVED)	Sonnet
55	none	(UNRESOLVED)	Fortnight
48	none	(UNRESOLVED)	007
47	none	(UNRESOLVED)	HBC 342
46	none	(UNRESOLVED)	Mandarina
44	none	(UNRESOLVED)	victoria
43	none	(UNRESOLVED)	Hop Shot
43	none	(UNRESOLVED)	Nelson
41	none	(UNRESOLVED)	Hort 4337
41	none	(UNRESOLVED)	Caliente
40	none	(UNRESOLVED)	Legacy
40	none	(UNRESOLVED)	Triple Pearl
39	none	(UNRESOLVED)	German Hallertauer
39	none	(UNRESOLVED)	Eukanot
38	none	(UNRESOLVED)	Hallertau Mittlefruh
38	none	(UNRESOLVED)	Fantasia
38	none	(UNRESOLVED)	Michigan Copper
38	none	(UNRESOLVED)	Sasquatch
35	none	(UNRESOLVED)	Citr
35	none	(UNRESOLVED)	Blend
35	none	(UNRESOLVED)	Hopshot
35	none	(UNRESOLVED)	Home Grown
35	none	(UNRESOLVED)	N1/69
34	none	(UNRESOLVED)	Victoria
34	none	(UNRESOLVED)	Eroica
34	none	(UNRESOLVED)	Mackinac
34	none	(UNRESOLVED)	Southern Dawn
33	none	(UNRESOLVED)	J17
33	none	(UNRESOLVED)	Minstrel
32	none	(UNRESOLVED)	07270
32	none	(UNRESOLVED)	Cas
31	none	(UNRESOLVED)	Buzz Bullets
31	none	(UNRESOLVED)	aroma
30	none	(UNRESOLVED)	Orbit
29	none	(UNRESOLVED)	Experimental Stone Fruit
29	none	(UNRESOLVED)	Northern Brewer - Mighty Axe Julius
28	none	(UNRESOLVED)	Yellow Sub
28	none	(UNRESOLVED)	Yakima Valley Hops - Experimental Grapefruit
28	none	(UNRESOLVED)	Brooklyn
28	none	(UNRESOLVED)	Styrian Cardinal
27	none	(UNRESOLVED)	Homegrown
26	none	(UNRESOLVED)	Mos
25	none	(UNRESOLVED)	Hop Extract
25	none	(UNRESOLVED)	Stella
25	none	(UNRESOLVED)	Merkur
25	none	(UNRESOLVED)	HBC 692
25	none	(UNRESOLVED)	Grapefruit
24	none	(UNRESOLVED)	fortnight
24	none	(UNRESOLVED)	Casc
24	none	(UNRESOLVED)	Aquila
23	none	(UNRESOLVED)	blend
23	none	(UNRESOLVED)	Aroma
23	none	(UNRESOLVED)	Mix
23	none	(UNRESOLVED)	Mag
23	none	(UNRESOLVED)	Mosai
23	none	(UNRESOLVED)	HBC 586
22	none	(UNRESOLVED)	Hop Mix
22	none	(UNRESOLVED)	Pahto
22	none	(UNRESOLVED)	Banner
22	none	(UNRESOLVED)	Wolf
21	none	(UNRESOLVED)	Wild Turkey
21	none	(UNRESOLVED)	fantasia
21	none	(UNRESOLVED)	Styrian Dragon
20	none	(UNRESOLVED)	Extract
20	none	(UNRESOLVED)	legacy
20	none	(UNRESOLVED)	Yakima Valley Hops - Southern Aroma
20	none	(UNRESOLVED)	Aged Hops
20	none	(UNRESOLVED)	Julius
19	none	(UNRESOLVED)	Dana
19	none	(UNRESOLVED)	Junga
19	none	(UNRESOLVED)	Cen
19	none	(UNRESOLVED)	pahto
18	none	(UNRESOLVED)	Hallertauer Mittelfrueh
18	none	(UNRESOLVED)	Athanum
18	none	(UNRESOLVED)	Huller Bitterer
18	none	(UNRESOLVED)	Galax
18	none	(UNRESOLVED)	Hallertau Garden
18	none	(UNRESOLVED)	Wild
18	none	(UNRESOLVED)	wild
18	none	(UNRESOLVED)	Bertwell
